stationName,Month,Monthly_Mean_Temp
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-11-30,294.5631408691406
Delhi East PREET VIHAR Gujarat Vihar Pz,2024-12-31,287.8800964355469
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-01-31,286.80780029296875
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-02-28,291.0461730957031
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-03-31,295.8414001464844
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-04-30,303.10565185546875
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-05-31,304.7624206542969
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-06-30,304.4964904785156
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-07-31,301.8397521972656
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-08-31,301.2220764160156
Delhi East Mayur vihar Kondli DJB WTP,2022-12-31,288.2099609375
Delhi East Mayur vihar Kondli DJB WTP,2023-01-31,285.8238220214844
Delhi East Mayur vihar Kondli DJB WTP,2023-02-28,291.9241027832031
Delhi East Mayur vihar Kondli DJB WTP,2023-03-31,295.37017822265625
Delhi East Mayur vihar Kondli DJB WTP,2023-04-30,299.9166564941406
Delhi East Mayur vihar Kondli DJB WTP,2023-05-31,302.4510803222656
Delhi East Mayur vihar Kondli DJB WTP,2023-06-30,304.4998779296875
Delhi East Mayur vihar Kondli DJB WTP,2023-07-31,302.1528625488281
Delhi East Mayur vihar Kondli DJB WTP,2023-08-31,302.80694580078125
Delhi East Mayur vihar Kondli DJB WTP,2023-09-30,301.7679138183594
Delhi East Mayur vihar Kondli DJB WTP,2023-10-31,298.5460510253906
Delhi East Mayur vihar Kondli DJB WTP,2023-11-30,294.0545349121094
Delhi East Mayur vihar Kondli DJB WTP,2023-12-31,288.89007568359375
Delhi East Mayur vihar Kondli DJB WTP,2024-01-31,285.1571350097656
Delhi East Mayur vihar Kondli DJB WTP,2024-02-29,289.3346252441406
Delhi East Mayur vihar Kondli DJB WTP,2024-03-31,294.7248840332031
Delhi East Mayur vihar Kondli DJB WTP,2024-04-30,301.89697265625
Delhi East Mayur vihar Kondli DJB WTP,2024-05-31,306.9232482910156
Delhi East Mayur vihar Kondli DJB WTP,2024-06-30,307.73773193359375
Delhi East Mayur vihar Kondli DJB WTP,2024-07-31,303.27276611328125
Delhi East Mayur vihar Kondli DJB WTP,2024-08-31,301.36016845703125
Delhi East Mayur vihar Kondli DJB WTP,2024-09-30,300.5596008300781
Delhi East Mayur vihar Kondli DJB WTP,2024-10-31,299.33148193359375
Delhi East Mayur vihar Kondli DJB WTP,2024-11-30,294.5631408691406
Delhi East Mayur vihar Kondli DJB WTP,2024-12-31,287.8800964355469
Delhi East Mayur vihar Kondli DJB WTP,2025-01-31,286.80780029296875
Delhi East Mayur vihar Kondli DJB WTP,2025-02-28,291.0461730957031
Delhi East Mayur vihar Kondli DJB WTP,2025-03-31,295.8414001464844
Delhi East Mayur vihar Kondli DJB WTP,2025-04-30,303.10565185546875
Delhi East Mayur vihar Kondli DJB WTP,2025-05-31,304.7624206542969
Delhi East Mayur vihar Kondli DJB WTP,2025-06-30,304.4964904785156
Delhi East Mayur vihar Kondli DJB WTP,2025-07-31,301.8397521972656
Delhi East Mayur vihar Kondli DJB WTP,2025-08-31,301.2220764160156
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-12-31,288.2099609375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-01-31,285.8238220214844
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-02-28,291.9241027832031
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-03-31,295.37017822265625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-04-30,299.9166564941406
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-05-31,302.4510803222656
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-06-30,304.4998779296875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-07-31,302.1528625488281
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-08-31,302.80694580078125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-09-30,301.7679138183594
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-10-31,298.5460510253906
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-11-30,294.0545349121094
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-12-31,288.89007568359375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-01-31,285.1571350097656
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-02-29,289.3346252441406
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-03-31,294.7248840332031
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-04-30,301.89697265625
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-05-31,306.9232482910156
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-06-30,307.73773193359375
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-07-31,303.27276611328125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-08-31,301.36016845703125
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-09-30,300.5596008300781
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-10-31,299.33148193359375
