stationName,Month,Monthly_Total_Rain
Burari OJB Ex. Eng Office,2023-03-31,0.8003767132759094
Burari OJB Ex. Eng Office,2023-04-30,0.22913417220115662
Burari OJB Ex. Eng Office,2023-05-31,1.0073542594909668
Burari OJB Ex. Eng Office,2023-06-30,1.19827139377594
Burari OJB Ex. Eng Office,2023-07-31,3.2446465492248535
Burari OJB Ex. Eng Office,2023-08-31,0.6413880586624146
Burari OJB Ex. Eng Office,2023-09-30,1.0410487651824951
Burari OJB Ex. Eng Office,2023-10-31,0.06236220896244049
Burari OJB Ex. Eng Office,2023-11-30,0.1239304393529892
Burari OJB Ex. Eng Office,2023-12-31,0.010273762047290802
Burari OJB Ex. Eng Office,2024-01-31,0.1259516179561615
Burari OJB Ex. Eng Office,2024-02-29,0.20595455169677734
Burari OJB Ex. Eng Office,2024-03-31,0.45320209860801697
Burari OJB Ex. Eng Office,2024-04-30,0.022892912849783897
Burari OJB Ex. Eng Office,2024-05-31,0.017748622223734856
Burari OJB Ex. Eng Office,2024-06-30,0.7578296661376953
Burari OJB Ex. Eng Office,2024-07-31,1.6599658727645874
Burari OJB Ex. Eng Office,2024-08-31,2.932748317718506
Burari OJB Ex. Eng Office,2024-09-30,3.7811830043792725
Burari OJB Ex. Eng Office,2024-10-31,0.0018069269135594368
Burari OJB Ex. Eng Office,2024-11-30,0.0013585226843133569
Burari OJB Ex. Eng Office,2024-12-31,0.679702639579773
Burari OJB Ex. Eng Office,2025-01-31,0.12690676748752594
Burari OJB Ex. Eng Office,2025-02-28,0.353945791721344
Burari OJB Ex. Eng Office,2025-03-31,0.15767958760261536
Burari OJB Ex. Eng Office,2025-04-30,0.09777028113603592
Burari OJB Ex. Eng Office,2025-05-31,0.4185304641723633
Burari OJB Ex. Eng Office,2025-06-30,1.5130243301391602
Burari OJB Ex. Eng Office,2025-07-31,2.9623074531555176
Burari OJB Ex. Eng Office,2025-08-31,2.7951478958129883
Delhi East MAYUR VIHAR Chilla Regulator,2022-12-31,0.0014237287687137723
Delhi East MAYUR VIHAR Chilla Regulator,2023-01-31,0.36929115653038025
Delhi East MAYUR VIHAR Chilla Regulator,2023-02-28,0.019590862095355988
Delhi East MAYUR VIHAR Chilla Regulator,2023-03-31,0.8315404653549194
Delhi East MAYUR VIHAR Chilla Regulator,2023-04-30,0.25425732135772705
Delhi East MAYUR VIHAR Chilla Regulator,2023-05-31,1.0772231817245483
Delhi East MAYUR VIHAR Chilla Regulator,2023-06-30,1.3106341361999512
Delhi East MAYUR VIHAR Chilla Regulator,2023-07-31,3.515881061553955
Delhi East MAYUR VIHAR Chilla Regulator,2023-08-31,0.7649244070053101
Delhi East MAYUR VIHAR Chilla Regulator,2023-09-30,1.1460646390914917
Delhi East MAYUR VIHAR Chilla Regulator,2023-10-31,0.07845315337181091
Delhi East MAYUR VIHAR Chilla Regulator,2023-11-30,0.09856584668159485
Delhi East MAYUR VIHAR Chilla Regulator,2023-12-31,0.015886811539530754
Delhi East MAYUR VIHAR Chilla Regulator,2024-01-31,0.10340744256973267
Delhi East MAYUR VIHAR Chilla Regulator,2024-02-29,0.1935921162366867
Delhi East MAYUR VIHAR Chilla Regulator,2024-03-31,0.40136414766311646
Delhi East MAYUR VIHAR Chilla Regulator,2024-04-30,0.016836849972605705
Delhi East MAYUR VIHAR Chilla Regulator,2024-05-31,0.01747249625623226
Delhi East MAYUR VIHAR Chilla Regulator,2024-06-30,0.7600555419921875
Delhi East MAYUR VIHAR Chilla Regulator,2024-07-31,1.69166100025177
Delhi East MAYUR VIHAR Chilla Regulator,2024-08-31,3.2283055782318115
Delhi East MAYUR VIHAR Chilla Regulator,2024-09-30,3.947570562362671
Delhi East MAYUR VIHAR Chilla Regulator,2024-10-31,0.002313380129635334
Delhi East MAYUR VIHAR Chilla Regulator,2024-11-30,0.0015005588065832853
Delhi East MAYUR VIHAR Chilla Regulator,2024-12-31,0.6072678565979004
Delhi East MAYUR VIHAR Chilla Regulator,2025-01-31,0.1152409166097641
Delhi East MAYUR VIHAR Chilla Regulator,2025-02-28,0.29650354385375977
Delhi East MAYUR VIHAR Chilla Regulator,2025-03-31,0.15265576541423798
Delhi East MAYUR VIHAR Chilla Regulator,2025-04-30,0.1353403925895691
Delhi East MAYUR VIHAR Chilla Regulator,2025-05-31,0.4239611327648163
Delhi East MAYUR VIHAR Chilla Regulator,2025-06-30,1.5417460203170776
Delhi East MAYUR VIHAR Chilla Regulator,2025-07-31,2.9302425384521484
Delhi East MAYUR VIHAR Chilla Regulator,2025-08-31,2.9937844276428223
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-12-31,0.0014237287687137723
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-01-31,0.36929115653038025
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-02-28,0.019590862095355988
