stationName,Month,Monthly_Total_Evap
Burari OJB Ex. Eng Office,2024-01-31,-0.17517460882663727
Burari OJB Ex. Eng Office,2024-02-29,-0.6001631021499634
Burari OJB Ex. Eng Office,2024-03-31,-0.8434302806854248
Burari OJB Ex. Eng Office,2024-04-30,-0.29977524280548096
Burari OJB Ex. Eng Office,2024-05-31,-0.26318156719207764
Burari OJB Ex. Eng Office,2024-06-30,-0.5895807147026062
Burari OJB Ex. Eng Office,2024-07-31,-1.892614483833313
Burari OJB Ex. Eng Office,2024-08-31,-1.6831039190292358
Burari OJB Ex. Eng Office,2024-09-30,-1.5901093482971191
Burari OJB Ex. Eng Office,2024-10-31,-1.2393112182617188
Burari OJB Ex. Eng Office,2024-11-30,-0.4759770631790161
Burari OJB Ex. Eng Office,2024-12-31,-0.382174015045166
Burari OJB Ex. Eng Office,2025-01-31,-0.7457611560821533
Burari OJB Ex. Eng Office,2025-02-28,-0.5813395977020264
Burari OJB Ex. Eng Office,2025-03-31,-0.8043394088745117
Burari OJB Ex. Eng Office,2025-04-30,-0.41958653926849365
Burari OJB Ex. Eng Office,2025-05-31,-0.8095195889472961
Burari OJB Ex. Eng Office,2025-06-30,-1.1734066009521484
Burari OJB Ex. Eng Office,2025-07-31,-1.7159674167633057
Burari OJB Ex. Eng Office,2025-08-31,-1.6185625791549683
Delhi East MAYUR VIHAR Chilla Regulator,2022-12-31,-0.5415074825286865
Delhi East MAYUR VIHAR Chilla Regulator,2023-01-31,-0.5288054347038269
Delhi East MAYUR VIHAR Chilla Regulator,2023-02-28,-0.7771056890487671
Delhi East MAYUR VIHAR Chilla Regulator,2023-03-31,-1.0382277965545654
Delhi East MAYUR VIHAR Chilla Regulator,2023-04-30,-1.1376667022705078
Delhi East MAYUR VIHAR Chilla Regulator,2023-05-31,-1.469673991203308
Delhi East MAYUR VIHAR Chilla Regulator,2023-06-30,-1.0429006814956665
Delhi East MAYUR VIHAR Chilla Regulator,2023-07-31,-1.736478567123413
Delhi East MAYUR VIHAR Chilla Regulator,2023-08-31,-2.288940906524658
Delhi East MAYUR VIHAR Chilla Regulator,2023-09-30,-1.95954430103302
Delhi East MAYUR VIHAR Chilla Regulator,2023-10-31,-1.4019811153411865
Delhi East MAYUR VIHAR Chilla Regulator,2023-11-30,-0.49709177017211914
Delhi East MAYUR VIHAR Chilla Regulator,2023-12-31,-0.3035348653793335
Delhi East MAYUR VIHAR Chilla Regulator,2024-01-31,-0.21138368546962738
Delhi East MAYUR VIHAR Chilla Regulator,2024-02-29,-0.6331356763839722
Delhi East MAYUR VIHAR Chilla Regulator,2024-03-31,-0.9217956066131592
Delhi East MAYUR VIHAR Chilla Regulator,2024-04-30,-0.3827170729637146
Delhi East MAYUR VIHAR Chilla Regulator,2024-05-31,-0.34123894572257996
Delhi East MAYUR VIHAR Chilla Regulator,2024-06-30,-0.618363082408905
Delhi East MAYUR VIHAR Chilla Regulator,2024-07-31,-1.843648910522461
Delhi East MAYUR VIHAR Chilla Regulator,2024-08-31,-1.7129812240600586
Delhi East MAYUR VIHAR Chilla Regulator,2024-09-30,-1.668421983718872
Delhi East MAYUR VIHAR Chilla Regulator,2024-10-31,-1.7182639837265015
Delhi East MAYUR VIHAR Chilla Regulator,2024-11-30,-0.7338245511054993
Delhi East MAYUR VIHAR Chilla Regulator,2024-12-31,-0.4636710286140442
Delhi East MAYUR VIHAR Chilla Regulator,2025-01-31,-0.7139170169830322
Delhi East MAYUR VIHAR Chilla Regulator,2025-02-28,-0.7683062553405762
Delhi East MAYUR VIHAR Chilla Regulator,2025-03-31,-1.0281250476837158
Delhi East MAYUR VIHAR Chilla Regulator,2025-04-30,-0.6505601406097412
Delhi East MAYUR VIHAR Chilla Regulator,2025-05-31,-0.914086103439331
Delhi East MAYUR VIHAR Chilla Regulator,2025-06-30,-1.2043049335479736
Delhi East MAYUR VIHAR Chilla Regulator,2025-07-31,-1.6920146942138672
Delhi East MAYUR VIHAR Chilla Regulator,2025-08-31,-1.6854088306427002
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-12-31,-0.5415074825286865
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-01-31,-0.5288054347038269
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-02-28,-0.7771056890487671
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-03-31,-1.0382277965545654
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-04-30,-1.1376667022705078
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-05-31,-1.469673991203308
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-06-30,-1.0429006814956665
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-07-31,-1.736478567123413
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-08-31,-2.288940906524658
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-09-30,-1.95954430103302
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-10-31,-1.4019811153411865
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-11-30,-0.49709177017211914
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-12-31,-0.3035348653793335
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-01-31,-0.21138368546962738
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-02-29,-0.6331356763839722
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-03-31,-0.9217956066131592
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-04-30,-0.3827170729637146
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-05-31,-0.34123894572257996
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-06-30,-0.618363082408905
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-07-31,-1.843648910522461
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-08-31,-1.7129812240600586
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-09-30,-1.668421983718872
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-10-31,-1.7182639837265015
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-11-30,-0.7338245511054993
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-12-31,-0.4636710286140442
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-01-31,-0.7139170169830322
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-02-28,-0.7683062553405762
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-03-31,-1.0281250476837158
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-04-30,-0.6505601406097412
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-05-31,-0.914086103439331
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-06-30,-1.2043049335479736
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-07-31,-1.6920146942138672
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-08-31,-1.6854088306427002
gazipur crossing pz,2022-12-31,-0.5415074825286865
gazipur crossing pz,2023-01-31,-0.5288054347038269
gazipur crossing pz,2023-02-28,-0.7771056890487671
