stationName,Month,Monthly_Mean_Pressure
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-12-31,99182.6875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-01-31,99223.25
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-02-29,99109.421875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-03-31,98737.6328125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-04-30,98225.625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-05-31,97744.1484375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-06-30,97440.03125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-07-31,97285.4765625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-08-31,97726.625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-09-30,97895.2421875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-10-31,98445.5703125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-11-30,98895.7109375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-12-31,99070.9921875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-01-31,99053.40625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-02-28,98931.5078125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-03-31,98588.0546875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-04-30,98120.1796875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-05-31,97733.375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-06-30,97461.921875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-07-31,97392.6875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2025-08-31,97723.5703125
gazipur crossing pz,2022-12-31,98995.9765625
gazipur crossing pz,2023-01-31,99202.734375
gazipur crossing pz,2023-02-28,98861.9140625
gazipur crossing pz,2023-03-31,98723.6796875
gazipur crossing pz,2023-04-30,98352.578125
gazipur crossing pz,2023-05-31,98070.734375
gazipur crossing pz,2023-06-30,97609.375
gazipur crossing pz,2023-07-31,97590.4921875
gazipur crossing pz,2023-08-31,97637.4921875
gazipur crossing pz,2023-09-30,97933.609375
gazipur crossing pz,2023-10-31,98622.9765625
gazipur crossing pz,2023-11-30,99030.5546875
gazipur crossing pz,2023-12-31,99182.6875
gazipur crossing pz,2024-01-31,99223.25
gazipur crossing pz,2024-02-29,99109.421875
gazipur crossing pz,2024-03-31,98737.6328125
gazipur crossing pz,2024-04-30,98225.625
gazipur crossing pz,2024-05-31,97744.1484375
gazipur crossing pz,2024-06-30,97440.03125
gazipur crossing pz,2024-07-31,97285.4765625
gazipur crossing pz,2024-08-31,97726.625
gazipur crossing pz,2024-09-30,97895.2421875
gazipur crossing pz,2024-10-31,98445.5703125
gazipur crossing pz,2024-11-30,98895.7109375
gazipur crossing pz,2024-12-31,99070.9921875
gazipur crossing pz,2025-01-31,99053.40625
gazipur crossing pz,2025-02-28,98931.5078125
gazipur crossing pz,2025-03-31,98588.0546875
gazipur crossing pz,2025-04-30,98120.1796875
gazipur crossing pz,2025-05-31,97733.375
gazipur crossing pz,2025-06-30,97461.921875
gazipur crossing pz,2025-07-31,97392.6875
gazipur crossing pz,2025-08-31,97723.5703125
Delhi East PREET VIHAR Bank Enclave Pz,2022-12-31,98995.9765625
Delhi East PREET VIHAR Bank Enclave Pz,2023-01-31,99202.734375
Delhi East PREET VIHAR Bank Enclave Pz,2023-02-28,98861.9140625
Delhi East PREET VIHAR Bank Enclave Pz,2023-03-31,98723.6796875
Delhi East PREET VIHAR Bank Enclave Pz,2023-04-30,98352.578125
Delhi East PREET VIHAR Bank Enclave Pz,2023-05-31,98070.734375
Delhi East PREET VIHAR Bank Enclave Pz,2023-06-30,97609.375
Delhi East PREET VIHAR Bank Enclave Pz,2023-07-31,97590.4921875
Delhi East PREET VIHAR Bank Enclave Pz,2023-08-31,97637.4921875
Delhi East PREET VIHAR Bank Enclave Pz,2023-09-30,97933.609375
Delhi East PREET VIHAR Bank Enclave Pz,2023-10-31,98622.9765625
Delhi East PREET VIHAR Bank Enclave Pz,2023-11-30,99030.5546875
Delhi East PREET VIHAR Bank Enclave Pz,2023-12-31,99182.6875
Delhi East PREET VIHAR Bank Enclave Pz,2024-01-31,99223.25
Delhi East PREET VIHAR Bank Enclave Pz,2024-02-29,99109.421875
Delhi East PREET VIHAR Bank Enclave Pz,2024-03-31,98737.6328125
Delhi East PREET VIHAR Bank Enclave Pz,2024-04-30,98225.625
Delhi East PREET VIHAR Bank Enclave Pz,2024-05-31,97744.1484375
Delhi East PREET VIHAR Bank Enclave Pz,2024-06-30,97440.03125
Delhi East PREET VIHAR Bank Enclave Pz,2024-07-31,97285.4765625
Delhi East PREET VIHAR Bank Enclave Pz,2024-08-31,97726.625
Delhi East PREET VIHAR Bank Enclave Pz,2024-09-30,97895.2421875
Delhi East PREET VIHAR Bank Enclave Pz,2024-10-31,98445.5703125
Delhi East PREET VIHAR Bank Enclave Pz,2024-11-30,98895.7109375
Delhi East PREET VIHAR Bank Enclave Pz,2024-12-31,99070.9921875
Delhi East PREET VIHAR Bank Enclave Pz,2025-01-31,99053.40625
Delhi East PREET VIHAR Bank Enclave Pz,2025-02-28,98931.5078125
Delhi East PREET VIHAR Bank Enclave Pz,2025-03-31,98588.0546875
