stationName,Month,Monthly_Total_Rain
Delhi Central CIVIL LINES Burari AugurPz,2022-09-30,2.5390474796295166
Delhi Central CIVIL LINES Burari AugurPz,2022-10-31,1.59653902053833
Delhi Central CIVIL LINES Burari AugurPz,2022-11-30,0.03907490894198418
Delhi Central CIVIL LINES Burari AugurPz,2022-12-31,0.000771244231145829
Delhi Central CIVIL LINES Burari AugurPz,2023-01-31,0.3973037004470825
Delhi Central CIVIL LINES Burari AugurPz,2023-02-28,0.0017277600709348917
Delhi Central CIVIL LINES Burari AugurPz,2023-03-31,0.7664337754249573
Delhi Central CIVIL LINES Burari AugurPz,2023-04-30,0.21240374445915222
Delhi Central CIVIL LINES Burari AugurPz,2023-05-31,0.9610607624053955
Delhi Central CIVIL LINES Burari AugurPz,2023-06-30,1.2103748321533203
Delhi Central CIVIL LINES Burari AugurPz,2023-07-31,3.046571731567383
Delhi Central CIVIL LINES Burari AugurPz,2023-08-31,0.631161093711853
Delhi Central CIVIL LINES Burari AugurPz,2023-09-30,0.9675787091255188
Delhi Central CIVIL LINES Burari AugurPz,2023-10-31,0.03661324083805084
Delhi Central CIVIL LINES Burari AugurPz,2023-11-30,0.13788250088691711
Delhi Central CIVIL LINES Burari AugurPz,2023-12-31,0.006882207468152046
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-01-31,0.9883995652198792
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-02-29,1.371781349182129
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-03-31,1.195881724357605
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-04-30,0.2648019790649414
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-05-31,0.5936616063117981
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-06-30,0.36674395203590393
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-07-31,1.4867507219314575
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-08-31,2.1491217613220215
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-09-30,0.5915157198905945
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-10-31,0.0002971224603243172
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-11-30,0.2434059977531433
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-12-31,0.028941914439201355
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-01-31,0.5015720725059509
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-02-28,0.09201747179031372
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-03-31,0.08986176550388336
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-04-30,0.07602587342262268
