stationName,Month,Monthly_Mean_Pressure
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-01-31,99192.625
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-02-29,99153.4609375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-03-31,98787.7734375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-04-30,98472.3984375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-05-31,97987.5078125
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-06-30,97601.2421875
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-07-31,97554.7109375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-08-31,97527.3984375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-09-30,97912.421875
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-10-31,98388.75
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-11-30,99133.390625
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-12-31,99143.546875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-01-31,99060.5078125
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-02-28,98965.1796875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-03-31,98590.96875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-04-30,98365.71875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-05-31,97970.734375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-06-30,97583.4921875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-07-31,97474.0234375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-08-31,97723.859375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-09-30,98050.703125
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-10-31,98461.25
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-11-30,98901.078125
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-12-31,99310.6875
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-01-31,99099.5234375
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-02-28,98835.1640625
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-03-31,98500.7109375
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-04-30,98073.234375
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-05-31,97634.6640625
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-06-30,97501.8203125
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-07-31,97651.96875
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-08-31,97725.09375
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-09-30,98015.640625
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-10-31,98649.4609375
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-11-30,98963.96875
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-12-31,99057.6953125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-01-31,99265.3359375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-02-28,98921.7578125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-03-31,98782.8359375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-04-30,98410.7578125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-05-31,98126.484375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-06-30,97663.890625
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-07-31,97643.203125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-08-31,97687.203125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-09-30,97988.0703125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-10-31,98679.4609375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-11-30,99089.640625
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-12-31,99243.7421875
Khela Ghat Bhela road_1,2020-01-31,99192.625
Khela Ghat Bhela road_1,2020-02-29,99153.4609375
Khela Ghat Bhela road_1,2020-03-31,98787.7734375
Khela Ghat Bhela road_1,2020-04-30,98472.3984375
Khela Ghat Bhela road_1,2020-05-31,97987.5078125
Khela Ghat Bhela road_1,2020-06-30,97601.2421875
Khela Ghat Bhela road_1,2020-07-31,97554.7109375
Khela Ghat Bhela road_1,2020-08-31,97527.3984375
Khela Ghat Bhela road_1,2020-09-30,97912.421875
Khela Ghat Bhela road_1,2020-10-31,98388.75
Khela Ghat Bhela road_1,2020-11-30,99133.390625
Khela Ghat Bhela road_1,2020-12-31,99143.546875
Khela Ghat Bhela road_1,2021-01-31,99060.5078125
Khela Ghat Bhela road_1,2021-02-28,98965.1796875
Khela Ghat Bhela road_1,2021-03-31,98590.96875
Khela Ghat Bhela road_1,2021-04-30,98365.71875
Khela Ghat Bhela road_1,2021-05-31,97970.734375
Khela Ghat Bhela road_1,2021-06-30,97583.4921875
Khela Ghat Bhela road_1,2021-07-31,97474.0234375
Khela Ghat Bhela road_1,2021-08-31,97723.859375
Khela Ghat Bhela road_1,2021-09-30,98050.703125
Khela Ghat Bhela road_1,2021-10-31,98461.25
Khela Ghat Bhela road_1,2021-11-30,98901.078125
Khela Ghat Bhela road_1,2021-12-31,99310.6875
Khela Ghat Bhela road_1,2022-01-31,99099.5234375
Khela Ghat Bhela road_1,2022-02-28,98835.1640625
Khela Ghat Bhela road_1,2022-03-31,98500.7109375
Khela Ghat Bhela road_1,2022-04-30,98073.234375
Khela Ghat Bhela road_1,2022-05-31,97634.6640625
Khela Ghat Bhela road_1,2022-06-30,97501.8203125
Khela Ghat Bhela road_1,2022-07-31,97651.96875
Khela Ghat Bhela road_1,2022-08-31,97725.09375
Khela Ghat Bhela road_1,2022-09-30,98015.640625
Khela Ghat Bhela road_1,2022-10-31,98649.4609375
Khela Ghat Bhela road_1,2022-11-30,98963.96875
Khela Ghat Bhela road_1,2022-12-31,99057.6953125
Khela Ghat Bhela road_1,2023-01-31,99265.3359375
Khela Ghat Bhela road_1,2023-02-28,98921.7578125
Khela Ghat Bhela road_1,2023-03-31,98782.8359375
Khela Ghat Bhela road_1,2023-04-30,98410.7578125
Khela Ghat Bhela road_1,2023-05-31,98126.484375
Khela Ghat Bhela road_1,2023-06-30,97663.890625
Khela Ghat Bhela road_1,2023-07-31,97643.203125
Khela Ghat Bhela road_1,2023-08-31,97687.203125
Khela Ghat Bhela road_1,2023-09-30,97988.0703125
Khela Ghat Bhela road_1,2023-10-31,98679.4609375
Khela Ghat Bhela road_1,2023-11-30,99089.640625
Khela Ghat Bhela road_1,2023-12-31,99243.7421875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-01-31,99135.8046875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-02-29,99098.2421875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-03-31,98734.453125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-04-30,98419.953125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-05-31,97938.0234375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-06-30,97554.15625
