stationName,Month,Monthly_Mean_Temp
Delhi Central CIVIL LINES Burari AugurPz,2023-09-30,301.9501037597656
Delhi Central CIVIL LINES Burari AugurPz,2023-10-31,298.6640930175781
Delhi Central CIVIL LINES Burari AugurPz,2023-11-30,294.0384826660156
Delhi Central CIVIL LINES Burari AugurPz,2023-12-31,288.6412048339844
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-01-31,286.03558349609375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-02-29,289.0957336425781
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-03-31,292.8558044433594
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-04-30,299.66973876953125
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-05-31,303.70745849609375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-06-30,305.0036315917969
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-07-31,303.4755859375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-08-31,301.9590759277344
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-09-30,302.6034851074219
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-10-31,298.8642272949219
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-11-30,291.9438171386719
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-12-31,287.9912109375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-01-31,286.701416015625
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-02-28,291.4557189941406
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-03-31,297.1924133300781
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-04-30,301.472412109375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-05-31,302.7722473144531
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-06-30,305.2575378417969
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-07-31,304.1956787109375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-08-31,302.38128662109375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-09-30,300.6124572753906
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-10-31,297.7619323730469
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-11-30,292.2085876464844
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-12-31,287.7528991699219
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-01-31,285.88671875
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-02-28,288.7010803222656
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-03-31,297.3746337890625
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-04-30,303.88836669921875
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-05-31,305.35845947265625
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-06-30,306.5273742675781
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-07-31,302.5647277832031
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-08-31,301.864990234375
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-09-30,301.3875732421875
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-10-31,296.8815612792969
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-11-30,293.12127685546875
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-12-31,288.0966796875
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-01-31,285.7171936035156
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-02-28,291.7828674316406
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-03-31,295.2396545410156
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-04-30,299.7624816894531
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-05-31,302.34332275390625
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-06-30,304.45489501953125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-07-31,302.1797790527344
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-08-31,302.9610290527344
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-09-30,302.03192138671875
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-10-31,298.8325500488281
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-11-30,294.1792907714844
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-12-31,288.8216552734375
Khela Ghat Bhela road_1,2020-01-31,286.03558349609375
Khela Ghat Bhela road_1,2020-02-29,289.0957336425781
Khela Ghat Bhela road_1,2020-03-31,292.8558044433594
Khela Ghat Bhela road_1,2020-04-30,299.66973876953125
Khela Ghat Bhela road_1,2020-05-31,303.70745849609375
Khela Ghat Bhela road_1,2020-06-30,305.0036315917969
Khela Ghat Bhela road_1,2020-07-31,303.4755859375
Khela Ghat Bhela road_1,2020-08-31,301.9590759277344
Khela Ghat Bhela road_1,2020-09-30,302.6034851074219
Khela Ghat Bhela road_1,2020-10-31,298.8642272949219
Khela Ghat Bhela road_1,2020-11-30,291.9438171386719
Khela Ghat Bhela road_1,2020-12-31,287.9912109375
Khela Ghat Bhela road_1,2021-01-31,286.701416015625
Khela Ghat Bhela road_1,2021-02-28,291.4557189941406
Khela Ghat Bhela road_1,2021-03-31,297.1924133300781
Khela Ghat Bhela road_1,2021-04-30,301.472412109375
Khela Ghat Bhela road_1,2021-05-31,302.7722473144531
Khela Ghat Bhela road_1,2021-06-30,305.2575378417969
Khela Ghat Bhela road_1,2021-07-31,304.1956787109375
Khela Ghat Bhela road_1,2021-08-31,302.38128662109375
Khela Ghat Bhela road_1,2021-09-30,300.6124572753906
Khela Ghat Bhela road_1,2021-10-31,297.7619323730469
Khela Ghat Bhela road_1,2021-11-30,292.2085876464844
Khela Ghat Bhela road_1,2021-12-31,287.7528991699219
Khela Ghat Bhela road_1,2022-01-31,285.88671875
Khela Ghat Bhela road_1,2022-02-28,288.7010803222656
Khela Ghat Bhela road_1,2022-03-31,297.3746337890625
Khela Ghat Bhela road_1,2022-04-30,303.88836669921875
Khela Ghat Bhela road_1,2022-05-31,305.35845947265625
Khela Ghat Bhela road_1,2022-06-30,306.5273742675781
Khela Ghat Bhela road_1,2022-07-31,302.5647277832031
Khela Ghat Bhela road_1,2022-08-31,301.864990234375
Khela Ghat Bhela road_1,2022-09-30,301.3875732421875
Khela Ghat Bhela road_1,2022-10-31,296.8815612792969
Khela Ghat Bhela road_1,2022-11-30,293.12127685546875
Khela Ghat Bhela road_1,2022-12-31,288.0966796875
Khela Ghat Bhela road_1,2023-01-31,285.7171936035156
Khela Ghat Bhela road_1,2023-02-28,291.7828674316406
Khela Ghat Bhela road_1,2023-03-31,295.2396545410156
Khela Ghat Bhela road_1,2023-04-30,299.7624816894531
Khela Ghat Bhela road_1,2023-05-31,302.34332275390625
Khela Ghat Bhela road_1,2023-06-30,304.45489501953125
Khela Ghat Bhela road_1,2023-07-31,302.1797790527344
Khela Ghat Bhela road_1,2023-08-31,302.9610290527344
Khela Ghat Bhela road_1,2023-09-30,302.03192138671875
Khela Ghat Bhela road_1,2023-10-31,298.8325500488281
Khela Ghat Bhela road_1,2023-11-30,294.1792907714844
Khela Ghat Bhela road_1,2023-12-31,288.8216552734375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-01-31,286.1642150878906
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-02-29,289.15765380859375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-03-31,292.9802551269531
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-04-30,299.7306823730469
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-05-31,303.70855712890625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-06-30,305.1095886230469
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-07-31,303.53289794921875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-08-31,301.8938903808594
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-09-30,302.4168395996094
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-10-31,298.81256103515625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-11-30,292.1251525878906
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-12-31,288.1785583496094
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-01-31,286.9137268066406
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-02-28,291.590576171875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-03-31,297.4681701660156
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-04-30,301.8458557128906
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-05-31,302.7802429199219
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-06-30,305.25927734375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-07-31,304.1588439941406
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-08-31,302.2877197265625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-09-30,300.5794372558594
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-10-31,297.7105712890625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-11-30,292.21038818359375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-12-31,287.7629699707031
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-01-31,285.9230041503906
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-02-28,288.7287292480469
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-03-31,297.4024658203125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-04-30,303.9758605957031
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-05-31,305.5361633300781
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-06-30,306.6693115234375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-07-31,302.65032958984375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-08-31,301.889404296875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-09-30,301.3749694824219
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-10-31,296.8409423828125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-11-30,293.1169128417969
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-12-31,288.2099609375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-01-31,285.8238220214844
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-02-28,291.9241027832031
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-03-31,295.37017822265625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-04-30,299.9166564941406
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-05-31,302.4510803222656
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-06-30,304.4998779296875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-07-31,302.1528625488281
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-08-31,302.80694580078125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-09-30,301.7679138183594
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-10-31,298.5460510253906
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-11-30,294.0545349121094
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-12-31,288.89007568359375
Delhi East PREET VIHAR Bank Enclave Pz,2020-01-31,286.1642150878906
Delhi East PREET VIHAR Bank Enclave Pz,2020-02-29,289.15765380859375
Delhi East PREET VIHAR Bank Enclave Pz,2020-03-31,292.9802551269531
Delhi East PREET VIHAR Bank Enclave Pz,2020-04-30,299.7306823730469
Delhi East PREET VIHAR Bank Enclave Pz,2020-05-31,303.70855712890625
Delhi East PREET VIHAR Bank Enclave Pz,2020-06-30,305.1095886230469
Delhi East PREET VIHAR Bank Enclave Pz,2020-07-31,303.53289794921875
Delhi East PREET VIHAR Bank Enclave Pz,2020-08-31,301.8938903808594
Delhi East PREET VIHAR Bank Enclave Pz,2020-09-30,302.4168395996094
Delhi East PREET VIHAR Bank Enclave Pz,2020-10-31,298.81256103515625
Delhi East PREET VIHAR Bank Enclave Pz,2020-11-30,292.1251525878906
Delhi East PREET VIHAR Bank Enclave Pz,2020-12-31,288.1785583496094
Delhi East PREET VIHAR Bank Enclave Pz,2021-01-31,286.9137268066406
Delhi East PREET VIHAR Bank Enclave Pz,2021-02-28,291.590576171875
Delhi East PREET VIHAR Bank Enclave Pz,2021-03-31,297.4681701660156
Delhi East PREET VIHAR Bank Enclave Pz,2021-04-30,301.8458557128906
Delhi East PREET VIHAR Bank Enclave Pz,2021-05-31,302.7802429199219
Delhi East PREET VIHAR Bank Enclave Pz,2021-06-30,305.25927734375
Delhi East PREET VIHAR Bank Enclave Pz,2021-07-31,304.1588439941406
Delhi East PREET VIHAR Bank Enclave Pz,2021-08-31,302.2877197265625
Delhi East PREET VIHAR Bank Enclave Pz,2021-09-30,300.5794372558594
Delhi East PREET VIHAR Bank Enclave Pz,2021-10-31,297.7105712890625
Delhi East PREET VIHAR Bank Enclave Pz,2021-11-30,292.21038818359375
Delhi East PREET VIHAR Bank Enclave Pz,2021-12-31,287.7629699707031
Delhi East PREET VIHAR Bank Enclave Pz,2022-01-31,285.9230041503906
Delhi East PREET VIHAR Bank Enclave Pz,2022-02-28,288.7287292480469
Delhi East PREET VIHAR Bank Enclave Pz,2022-03-31,297.4024658203125
Delhi East PREET VIHAR Bank Enclave Pz,2022-04-30,303.9758605957031
Delhi East PREET VIHAR Bank Enclave Pz,2022-05-31,305.5361633300781
Delhi East PREET VIHAR Bank Enclave Pz,2022-06-30,306.6693115234375
Delhi East PREET VIHAR Bank Enclave Pz,2022-07-31,302.65032958984375
Delhi East PREET VIHAR Bank Enclave Pz,2022-08-31,301.889404296875
Delhi East PREET VIHAR Bank Enclave Pz,2022-09-30,301.3749694824219
Delhi East PREET VIHAR Bank Enclave Pz,2022-10-31,296.8409423828125
Delhi East PREET VIHAR Bank Enclave Pz,2022-11-30,293.1169128417969
Delhi East PREET VIHAR Bank Enclave Pz,2022-12-31,288.2099609375
Delhi East PREET VIHAR Bank Enclave Pz,2023-01-31,285.8238220214844
Delhi East PREET VIHAR Bank Enclave Pz,2023-02-28,291.9241027832031
Delhi East PREET VIHAR Bank Enclave Pz,2023-03-31,295.37017822265625
